lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84752008476906,2024,Orlov-Gostisbehere,CAR,pairing,5on5,32,1193.0,232.0,0.31,0.45,0.38,6.66,0.52,0.51,1.4,0.18,3.64,2.76,0.52,0.55,0.54,6.0,3.0,6.0,15.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,7.0,0.0,0.0,1.0,10.0,3.0,4.0,6.0,3.0,0.0,0.18,0.34,0.0,1.0,1.0,0.0,15.67,9.0,9.41,4.0,0.1,0.13,0.0,0.62,0.66,0.65,11.27,1.18,0.8,2.4,0.37,5.69,4.56,1.17,1.16,1.15,9.0,6.0,3.0,18.0,1.0,1.0,0.0,1.0,0.0,2.0,10.0,8.0,14.0,1.0,2.0,1.0,3.0,2.0,3.0,10.0,3.0,2.0,0.28,0.45,0.45,1.0,0.0,0.0,17.73,15.0,14.75,2.0,0.17,0.22,0.22,1.13,1.11,1.1
84754558483495,2024,Dillon-Nemec,NJD,pairing,5on5,18,4970.0,92.0,0.44,0.47,0.42,30.95,2.7,1.91,7.41,1.01,16.59,12.38,2.61,2.77,2.68,25.0,17.0,24.0,66.0,2.0,2.0,0.0,4.0,0.0,16.0,18.0,23.0,40.0,4.0,11.0,35.0,41.0,6.0,24.0,27.0,13.0,2.0,0.73,1.49,0.47,2.0,0.0,0.0,65.87,42.0,42.19,10.0,0.39,0.41,0.41,2.68,2.76,2.73,42.53,3.44,2.66,11.1,1.38,22.18,17.24,3.34,3.58,3.49,39.0,19.0,17.0,75.0,5.0,5.0,0.0,7.0,0.0,15.0,26.0,34.0,53.0,7.0,17.0,39.0,30.0,6.0,28.0,43.0,14.0,1.0,1.21,2.01,0.21,2.0,2.0,1.0,77.53,58.0,59.79,12.0,0.55,0.8,0.8,3.19,3.38,3.35
84789118480873,2024,Sandin-Roy,WSH,pairing,5on5,55,20612.0,247.0,0.55,0.49,0.51,168.72,15.78,10.89,42.83,5.7,89.86,66.94,15.1,16.03,15.34,153.0,79.0,90.0,322.0,17.0,23.0,4.0,37.0,0.0,68.0,87.0,136.0,215.0,16.0,32.0,142.0,121.0,21.0,89.0,167.0,45.0,20.0,4.76,5.72,5.3,6.0,4.0,7.0,328.15,232.0,236.62,48.0,2.26,4.53,4.17,13.88,14.09,13.88,164.0,12.66,9.92,42.98,5.53,87.7,66.2,12.34,12.59,12.28,143.0,82.0,105.0,330.0,12.0,11.0,3.0,35.0,0.0,70.0,97.0,131.0,213.0,19.0,38.0,156.0,137.0,27.0,86.0,175.0,38.0,12.0,4.78,4.62,3.26,5.0,4.0,3.0,325.4,225.0,222.68,40.0,2.06,2.92,2.92,11.79,11.72,11.63
847836684788738482745,2024,Terry-Mctavish-Vatrano,ANA,line,5on5,27,1907.0,297.0,0.34,0.41,0.39,13.88,1.29,1.0,3.2,0.45,7.48,5.58,1.16,1.2,1.08,14.0,5.0,9.0,28.0,1.0,1.0,0.0,3.0,1.0,5.0,8.0,13.0,18.0,2.0,4.0,11.0,3.0,3.0,12.0,14.0,5.0,0.0,0.52,0.77,0.0,0.0,1.0,0.0,25.54,19.0,17.64,4.0,0.21,0.19,0.19,1.3,1.22,1.14,22.32,2.46,1.36,5.31,0.75,11.19,8.93,2.32,2.67,2.51,22.0,8.0,11.0,41.0,3.0,2.0,1.0,6.0,0.0,4.0,15.0,19.0,27.0,7.0,14.0,17.0,6.0,4.0,4.0,20.0,7.0,3.0,0.62,0.93,0.91,2.0,0.0,1.0,44.38,30.0,32.42,0.0,0.29,0.66,0.66,2.09,2.23,2.23
847591384764388479353,2024,Saad-Howden-Stone,VGK,line,5on5,6,2936.0,17.0,0.72,0.6,0.65,39.2,3.23,2.45,9.98,1.31,21.39,16.63,3.11,3.3,3.19,40.0,15.0,16.0,71.0,2.0,5.0,1.0,8.0,1.0,13.0,26.0,38.0,53.0,3.0,6.0,21.0,6.0,7.0,12.0,41.0,11.0,3.0,1.21,1.23,0.79,0.0,2.0,0.0,72.76,55.0,56.01,4.0,0.5,1.01,1.01,2.73,2.79,2.69,21.73,1.26,1.1,6.11,0.72,11.05,8.76,1.25,1.23,1.22,19.0,10.0,18.0,47.0,1.0,1.0,0.0,6.0,0.0,7.0,14.0,18.0,28.0,1.0,2.0,31.0,30.0,0.0,21.0,24.0,4.0,1.0,0.58,0.47,0.21,0.0,1.0,0.0,46.2,29.0,28.38,14.0,0.23,0.32,0.0,1.49,1.46,1.45
84788408479324,2024,Lindgren-Borgen,NYR,pairing,5on5,16,1662.0,108.0,0.57,0.43,0.49,13.71,1.57,0.99,3.3,0.49,7.94,5.71,1.51,1.59,1.52,12.0,8.0,6.0,26.0,2.0,1.0,0.0,2.0,0.0,8.0,7.0,10.0,18.0,0.0,0.0,12.0,21.0,4.0,5.0,14.0,4.0,2.0,0.55,0.5,0.52,1.0,1.0,0.0,26.36,20.0,20.11,3.0,0.21,0.29,0.29,1.49,1.52,1.48,15.05,1.2,0.88,3.3,0.5,8.27,6.86,1.19,1.15,1.15,15.0,6.0,13.0,34.0,1.0,0.0,0.0,6.0,0.0,4.0,10.0,14.0,20.0,2.0,4.0,11.0,12.0,0.0,7.0,14.0,7.0,0.0,0.39,0.8,0.0,0.0,1.0,0.0,32.92,21.0,20.41,3.0,0.18,0.0,0.0,1.38,1.33,1.32
847794984784138481528,2024,Greenway-Cozens-Tuch,BUF,line,5on5,7,2196.0,82.0,0.59,0.51,0.53,21.36,2.5,1.34,5.69,0.7,10.45,7.32,2.32,2.42,2.25,17.0,11.0,12.0,40.0,2.0,3.0,1.0,4.0,0.0,6.0,13.0,15.0,26.0,5.0,10.0,30.0,25.0,3.0,18.0,19.0,4.0,5.0,0.64,0.55,1.31,1.0,0.0,1.0,38.49,28.0,27.38,7.0,0.29,1.1,0.6,2.19,2.12,2.02,18.2,1.75,1.24,4.08,0.62,10.11,7.2,1.71,1.72,1.68,17.0,8.0,13.0,38.0,0.0,1.0,0.0,7.0,0.0,10.0,7.0,17.0,25.0,1.0,2.0,25.0,20.0,2.0,13.0,18.0,5.0,2.0,0.59,0.62,0.55,0.0,0.0,0.0,39.23,25.0,25.23,7.0,0.26,0.28,0.28,1.73,1.72,1.7
84768548478443,2024,Lindholm-Carlo,BOS,pairing,5on5,17,8599.0,68.0,0.61,0.54,0.58,74.6,5.82,4.96,19.12,2.55,41.63,29.92,5.62,5.85,5.65,72.0,32.0,34.0,138.0,8.0,8.0,2.0,13.0,0.0,27.0,48.0,64.0,96.0,10.0,20.0,72.0,75.0,11.0,39.0,81.0,17.0,6.0,2.04,2.11,1.67,4.0,4.0,0.0,139.77,104.0,105.37,21.0,1.02,1.63,1.63,5.22,5.25,5.19,53.34,3.7,3.33,13.74,1.88,31.06,22.29,3.57,3.75,3.62,47.0,29.0,40.0,116.0,3.0,4.0,1.0,10.0,1.0,29.0,29.0,44.0,73.0,14.0,28.0,69.0,80.0,15.0,54.0,62.0,13.0,1.0,1.69,1.51,0.5,0.0,2.0,1.0,115.44,76.0,76.1,23.0,0.68,0.57,0.57,3.81,3.82,3.71
847062184757848478585,2024,Skinner-Ryan-Perry,EDM,line,5on5,8,1117.0,111.0,0.66,0.71,0.71,9.99,0.67,0.66,2.49,0.39,6.35,4.44,0.66,0.68,0.67,10.0,5.0,10.0,25.0,0.0,0.0,0.0,3.0,0.0,7.0,5.0,10.0,15.0,0.0,0.0,4.0,7.0,4.0,3.0,11.0,4.0,0.0,0.27,0.4,0.0,0.0,0.0,0.0,26.08,15.0,15.45,0.0,0.14,0.0,0.0,0.81,0.82,0.81,4.74,0.35,0.25,1.54,0.16,2.19,1.53,0.34,0.35,0.34,5.0,1.0,4.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,2.0,8.0,8.0,2.0,6.0,4.0,2.0,0.0,0.13,0.22,0.0,0.0,1.0,0.0,9.72,6.0,5.78,5.0,0.05,0.11,0.11,0.29,0.29,0.28
847688984775738478472,2024,Walker-Faksa-Joseph,STL,line,5on5,8,1209.0,95.0,0.81,0.63,0.58,7.55,0.64,0.42,2.27,0.27,4.25,3.16,0.62,0.67,0.65,7.0,4.0,9.0,20.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,6.0,10.0,0.0,0.0,9.0,16.0,1.0,3.0,9.0,1.0,1.0,0.26,0.09,0.29,0.0,0.0,1.0,20.29,11.0,11.54,1.0,0.09,0.29,0.29,0.44,0.45,0.44,5.66,0.15,0.26,1.56,0.19,3.3,2.53,0.15,0.14,0.14,5.0,3.0,4.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,8.0,1.0,2.0,10.0,11.0,2.0,5.0,8.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,11.9,8.0,7.67,4.0,0.05,0.0,0.0,0.21,0.2,0.19
