team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2024,NYR,NYR,Team Level,other,68,0.49,0.54,0.51,8398.0,121.12,30.27,8.75,21.62,4.2,64.78,35.38,27.0,30.27,27.0,100.0,65.0,75.0,240.0,19.0,12.0,1.0,16.0,1.0,67.0,50.0,81.0,146.0,4.0,11.0,99.0,18.0,15.0,33.0,80.0,37.0,48.0,2.88,4.62,22.77,4.0,2.0,13.0,240.0,165.0,165.0,14.0,2.55,4.78,4.78,28.05,28.05,25.96,115.53,31.16,7.9,21.36,3.72,57.26,34.61,28.96,31.16,28.96,96.0,60.0,47.0,203.0,26.0,8.0,1.0,13.0,0.0,56.0,53.0,70.0,130.0,7.0,17.0,80.0,18.0,15.0,35.0,71.0,41.0,44.0,2.71,5.32,23.12,4.0,3.0,19.0,203.0,156.0,156.0,15.0,2.31,2.89,2.89,30.57,30.57,28.91
NYR,2024,NYR,NYR,Team Level,all,68,0.49,0.5,0.5,246504.0,2189.09,220.0,146.23,524.06,72.69,1180.3,858.71,207.33,221.24,208.44,1960.0,1042.0,1109.0,4111.0,203.0,214.0,29.0,403.0,6.0,958.0,1218.0,1757.0,2799.0,236.0,532.0,2010.0,1687.0,333.0,1003.0,2206.0,549.0,247.0,63.17,68.9,87.93,89.0,56.0,58.0,4129.16,3002.0,3018.23,498.0,32.57,46.91,46.91,205.67,206.85,200.39,2240.84,226.57,152.65,537.25,74.42,1195.1,863.03,215.51,226.97,215.93,2037.0,1012.0,1139.0,4188.0,204.0,229.0,18.0,357.0,5.0,936.0,1318.0,1833.0,2845.0,218.0,491.0,1745.0,1296.0,322.0,1104.0,2178.0,605.0,266.0,61.57,75.48,89.52,75.0,75.0,54.0,4191.99,3049.0,3052.09,495.0,33.87,47.52,47.52,212.92,213.27,207.51
NYR,2024,NYR,NYR,Team Level,5on5,68,0.49,0.49,0.49,200679.0,1697.55,144.68,108.03,427.02,56.2,911.57,680.5,138.71,145.93,139.82,1525.0,803.0,889.0,3217.0,141.0,167.0,22.0,318.0,5.0,719.0,978.0,1384.0,2187.0,217.0,491.0,1543.0,1596.0,272.0,869.0,1764.0,422.0,142.0,50.16,53.4,41.13,72.0,47.0,22.0,3235.16,2328.0,2344.23,441.0,22.46,33.94,33.94,133.21,134.4,132.09,1775.66,151.83,114.0,443.59,59.47,950.16,706.94,146.0,152.24,146.43,1617.0,809.0,954.0,3380.0,144.0,173.0,14.0,289.0,4.0,722.0,1094.0,1473.0,2282.0,197.0,446.0,1369.0,1232.0,284.0,966.0,1804.0,460.0,162.0,50.72,56.97,44.15,66.0,61.0,17.0,3383.99,2426.0,2429.09,442.0,23.64,34.95,35.22,140.26,140.6,138.56
NYR,2024,NYR,NYR,Team Level,4on5,68,0.14,0.16,0.19,20476.0,74.91,6.58,3.61,11.43,2.31,23.52,51.55,6.49,6.58,6.49,76.0,23.0,6.0,105.0,12.0,4.0,0.0,3.0,0.0,14.0,66.0,64.0,87.0,8.0,16.0,193.0,54.0,27.0,44.0,73.0,19.0,7.0,2.07,2.3,2.21,7.0,3.0,2.0,105.0,99.0,99.0,35.0,0.83,0.81,0.81,6.6,6.6,6.54,309.46,40.05,28.92,66.66,10.05,175.31,93.01,37.04,40.05,37.04,286.0,128.0,122.0,536.0,31.0,46.0,3.0,54.0,1.0,149.0,133.0,255.0,383.0,10.0,20.0,156.0,15.0,10.0,71.0,264.0,93.0,57.0,7.01,11.87,21.16,3.0,10.0,18.0,536.0,414.0,414.0,9.0,7.5,9.15,8.88,38.66,38.66,36.61
NYR,2024,NYR,NYR,Team Level,5on4,68,0.92,0.89,0.89,16951.0,295.51,38.46,25.85,64.0,9.99,180.43,91.28,35.13,38.46,35.13,259.0,151.0,139.0,549.0,31.0,31.0,6.0,66.0,0.0,158.0,124.0,228.0,379.0,7.0,14.0,175.0,19.0,19.0,57.0,289.0,71.0,50.0,8.06,8.58,21.83,6.0,4.0,21.0,549.0,410.0,410.0,8.0,6.73,7.37,7.37,37.81,37.81,35.8,40.19,3.54,1.82,5.63,1.18,12.37,28.46,3.51,3.54,3.51,38.0,15.0,16.0,69.0,3.0,2.0,0.0,1.0,0.0,9.0,38.0,35.0,50.0,4.0,8.0,140.0,31.0,13.0,32.0,39.0,11.0,3.0,1.14,1.32,1.08,2.0,1.0,0.0,69.0,53.0,53.0,29.0,0.42,0.54,0.53,3.43,3.43,3.42
BUF,2024,BUF,BUF,Team Level,other,66,0.46,0.51,0.51,11641.0,152.12,33.29,10.96,28.42,5.08,82.58,44.74,30.49,33.29,30.49,124.0,82.0,85.0,291.0,23.0,20.0,4.0,27.0,2.0,78.0,56.0,101.0,183.0,9.0,18.0,111.0,37.0,16.0,29.0,111.0,50.0,45.0,4.36,6.27,22.66,5.0,4.0,14.0,291.0,206.0,206.0,13.0,3.19,7.19,7.69,28.73,28.73,27.24,141.35,39.12,9.8,24.02,4.76,73.56,44.73,36.24,39.12,36.24,125.0,71.0,80.0,276.0,41.0,9.0,2.0,16.0,1.0,71.0,58.0,84.0,155.0,7.0,14.0,162.0,34.0,21.0,27.0,91.0,46.0,59.0,3.73,5.52,29.87,8.0,7.0,26.0,276.0,196.0,196.0,18.0,2.89,2.1,2.1,39.92,39.92,37.13
BUF,2024,BUF,BUF,Team Level,all,66,0.48,0.51,0.5,240127.0,2079.74,201.6,141.04,506.67,69.65,1138.89,805.21,190.86,201.45,190.71,1842.0,1022.0,1120.0,3984.0,206.0,212.0,24.0,384.0,9.0,885.0,1168.0,1636.0,2658.0,257.0,589.0,1889.0,1471.0,301.0,951.0,2154.0,495.0,215.0,63.1,61.32,77.19,96.0,62.0,48.0,3971.83,2864.0,2856.95,442.0,31.48,46.41,46.41,186.62,186.43,181.77,2074.93,222.49,140.51,495.54,69.49,1120.55,810.43,211.22,222.85,211.6,1898.0,961.0,1046.0,3905.0,231.0,217.0,38.0,376.0,13.0,923.0,1099.0,1667.0,2628.0,252.0,572.0,2014.0,1469.0,345.0,979.0,2060.0,536.0,263.0,59.48,67.72,95.3,72.0,77.0,82.0,3907.12,2859.0,2866.95,472.0,31.3,45.28,45.98,207.81,208.34,202.41
BUF,2024,BUF,BUF,Team Level,5on5,66,0.48,0.51,0.5,191892.0,1605.89,127.01,104.48,411.47,53.92,885.19,643.93,122.84,126.86,122.69,1415.0,811.0,895.0,3121.0,148.0,155.0,17.0,306.0,6.0,671.0,940.0,1267.0,2078.0,224.0,520.0,1454.0,1351.0,256.0,848.0,1747.0,362.0,117.0,49.56,45.55,31.9,84.0,48.0,16.0,3108.83,2226.0,2218.95,400.0,21.6,31.03,30.62,118.0,117.8,115.91,1598.08,138.58,103.54,404.86,53.74,863.25,638.02,133.26,138.94,133.64,1451.0,751.0,836.0,3038.0,145.0,177.0,31.0,299.0,8.0,705.0,868.0,1306.0,2057.0,221.0,507.0,1511.0,1361.0,289.0,874.0,1644.0,417.0,141.0,46.88,53.19,38.51,59.0,57.0,29.0,3040.12,2202.0,2209.95,418.0,21.49,35.28,35.64,124.43,124.96,123.03
BUF,2024,BUF,BUF,Team Level,4on5,66,0.1,0.14,0.15,18264.0,52.06,4.32,2.64,8.45,1.88,16.68,36.02,4.16,4.32,4.16,59.0,11.0,11.0,81.0,4.0,5.0,1.0,1.0,1.0,7.0,52.0,55.0,66.0,10.0,23.0,169.0,67.0,16.0,28.0,52.0,13.0,5.0,1.57,1.56,1.18,2.0,1.0,1.0,81.0,70.0,70.0,25.0,0.62,0.86,0.85,4.09,4.09,4.04,276.48,39.54,24.23,58.04,9.12,165.31,86.77,36.61,39.54,36.61,258.0,125.0,124.0,507.0,41.0,28.0,5.0,56.0,3.0,134.0,121.0,217.0,342.0,18.0,39.0,179.0,19.0,19.0,50.0,267.0,61.0,55.0,7.16,7.36,25.02,4.0,11.0,26.0,507.0,383.0,383.0,11.0,6.24,7.51,7.86,37.92,37.92,36.78
BUF,2024,BUF,BUF,Team Level,5on4,66,0.88,0.85,0.82,18330.0,269.68,36.98,22.95,58.34,8.77,154.44,80.53,33.37,36.98,33.37,244.0,118.0,129.0,491.0,31.0,32.0,2.0,50.0,0.0,129.0,120.0,213.0,331.0,14.0,28.0,155.0,16.0,13.0,46.0,244.0,70.0,48.0,7.6,7.93,21.44,5.0,9.0,17.0,491.0,362.0,362.0,4.0,6.08,7.32,7.24,35.81,35.81,34.58,59.02,5.25,2.95,8.61,1.87,18.43,40.9,5.12,5.25,5.12,64.0,14.0,6.0,84.0,4.0,3.0,0.0,5.0,1.0,13.0,52.0,60.0,74.0,6.0,12.0,162.0,55.0,16.0,28.0,58.0,12.0,8.0,1.71,1.65,1.89,1.0,2.0,1.0,84.0,78.0,78.0,25.0,0.68,0.38,0.38,5.55,5.55,5.47
DET,2024,DET,DET,Team Level,other,67,0.51,0.48,0.51,8524.0,125.51,33.88,8.86,21.58,4.17,61.62,37.89,30.66,33.88,30.66,115.0,53.0,47.0,215.0,27.0,12.0,3.0,23.0,1.0,50.0,55.0,88.0,141.0,1.0,2.0,110.0,22.0,15.0,29.0,78.0,41.0,49.0,3.05,5.14,25.69,2.0,6.0,19.0,215.0,168.0,168.0,8.0,2.64,3.57,3.57,32.95,32.95,30.28,120.27,32.18,8.21,21.43,4.01,61.58,34.61,29.25,32.18,29.25,108.0,54.0,68.0,230.0,27.0,13.0,0.0,22.0,0.0,59.0,41.0,81.0,135.0,7.0,14.0,105.0,27.0,16.0,25.0,73.0,42.0,47.0,2.9,5.01,24.26,5.0,4.0,18.0,230.0,162.0,162.0,10.0,2.43,4.37,4.47,30.14,30.14,27.84
DET,2024,DET,DET,Team Level,all,67,0.49,0.49,0.49,243972.0,2040.95,211.91,137.8,486.34,68.08,1097.04,784.82,200.53,211.14,199.75,1853.0,933.0,1071.0,3857.0,191.0,195.0,19.0,364.0,8.0,898.0,1130.0,1662.0,2595.0,184.0,390.0,1889.0,1232.0,299.0,1042.0,2007.0,536.0,243.0,58.02,66.39,87.51,60.0,67.0,64.0,3833.83,2786.0,2776.36,514.0,30.79,43.78,43.78,198.93,198.21,191.76,2129.1,220.41,142.42,517.62,72.23,1147.52,822.79,207.45,222.2,209.17,1921.0,1002.0,1143.0,4066.0,211.0,216.0,24.0,409.0,7.0,963.0,1117.0,1710.0,2712.0,225.0,470.0,1918.0,1460.0,306.0,1007.0,2118.0,549.0,256.0,59.38,67.34,93.69,82.0,59.0,70.0,4097.91,2923.0,2942.04,484.0,31.49,48.19,48.21,203.69,205.46,198.74
DET,2024,DET,DET,Team Level,5on5,67,0.48,0.48,0.48,203253.0,1577.02,132.15,99.3,395.45,53.12,851.0,634.97,127.01,131.37,126.24,1419.0,747.0,892.0,3058.0,113.0,145.0,9.0,303.0,6.0,686.0,913.0,1306.0,2053.0,169.0,360.0,1485.0,1158.0,260.0,933.0,1650.0,385.0,131.0,46.63,47.98,37.54,49.0,48.0,16.0,3034.83,2166.0,2156.36,480.0,20.61,31.44,31.44,121.31,120.6,118.85,1713.9,144.13,109.61,437.31,58.61,925.58,686.75,137.37,145.92,139.09,1538.0,824.0,937.0,3299.0,132.0,164.0,16.0,356.0,4.0,773.0,933.0,1406.0,2230.0,204.0,428.0,1551.0,1390.0,267.0,914.0,1784.0,427.0,151.0,48.76,52.54,42.84,67.0,47.0,18.0,3330.91,2362.0,2381.05,446.0,22.71,33.84,33.76,133.09,134.85,132.16
DET,2024,DET,DET,Team Level,4on5,67,0.06,0.09,0.11,14446.0,33.14,2.47,1.41,5.55,0.97,10.0,22.6,2.36,2.47,2.36,35.0,8.0,7.0,50.0,2.0,1.0,0.0,2.0,0.0,4.0,34.0,33.0,41.0,3.0,6.0,122.0,44.0,13.0,27.0,35.0,5.0,3.0,0.97,0.66,0.84,1.0,1.0,0.0,50.0,43.0,43.0,23.0,0.33,0.29,0.29,2.51,2.51,2.48,259.68,40.71,22.68,53.8,8.49,149.0,77.32,37.55,40.71,37.55,239.0,113.0,128.0,480.0,46.0,36.0,8.0,28.0,3.0,126.0,113.0,193.0,306.0,8.0,16.0,125.0,5.0,6.0,34.0,228.0,69.0,55.0,6.62,8.21,25.88,6.0,7.0,33.0,480.0,352.0,352.0,2.0,5.91,9.51,9.51,37.11,37.11,35.43
DET,2024,DET,DET,Team Level,5on4,67,0.93,0.9,0.9,17749.0,305.28,43.41,28.23,63.77,9.82,174.42,89.36,40.5,43.41,40.5,284.0,125.0,125.0,534.0,49.0,37.0,7.0,36.0,1.0,158.0,128.0,235.0,360.0,11.0,22.0,172.0,8.0,11.0,53.0,244.0,105.0,60.0,7.36,12.62,23.43,8.0,12.0,29.0,534.0,409.0,409.0,3.0,7.22,8.48,8.48,42.16,42.16,40.14,35.24,3.38,1.92,5.08,1.12,11.36,24.12,3.28,3.38,3.28,36.0,11.0,10.0,57.0,6.0,3.0,0.0,3.0,0.0,5.0,30.0,30.0,41.0,6.0,12.0,137.0,38.0,17.0,34.0,33.0,11.0,3.0,1.1,1.57,0.71,4.0,1.0,1.0,57.0,47.0,47.0,26.0,0.44,0.48,0.48,3.35,3.35,3.3
CGY,2024,CGY,CGY,Team Level,other,66,0.47,0.48,0.47,9032.0,125.71,31.08,8.89,22.54,4.23,66.27,41.99,28.18,31.08,28.18,112.0,63.0,76.0,251.0,29.0,3.0,0.0,20.0,1.0,66.0,56.0,83.0,146.0,5.0,10.0,106.0,26.0,14.0,32.0,94.0,35.0,46.0,3.4,4.13,23.55,3.0,5.0,21.0,251.0,175.0,175.0,13.0,2.56,0.54,0.73,32.91,32.91,29.95,147.79,35.32,9.94,25.68,4.74,73.96,49.36,33.35,35.32,33.35,124.0,75.0,75.0,274.0,34.0,14.0,3.0,18.0,1.0,75.0,57.0,90.0,165.0,4.0,8.0,126.0,22.0,16.0,30.0,102.0,44.0,53.0,3.69,5.77,25.85,9.0,4.0,21.0,274.0,199.0,199.0,8.0,2.92,4.39,4.39,33.86,33.86,32.72
CGY,2024,CGY,CGY,Team Level,all,66,0.48,0.51,0.5,240961.0,2055.89,191.42,132.92,518.61,70.88,1124.29,813.96,181.44,191.53,181.54,1894.0,959.0,1259.0,4112.0,168.0,174.0,18.0,442.0,7.0,888.0,1174.0,1726.0,2685.0,255.0,591.0,1875.0,1493.0,355.0,1047.0,2199.0,431.0,223.0,59.05,53.71,78.65,62.0,45.0,61.0,4087.28,2853.0,2848.41,489.0,29.62,34.96,34.96,186.02,185.97,178.96,2068.95,209.37,137.51,505.62,70.12,1114.25,809.19,200.43,210.84,201.84,1930.0,917.0,1182.0,4029.0,194.0,198.0,23.0,472.0,11.0,900.0,1072.0,1736.0,2653.0,253.0,577.0,2200.0,1306.0,372.0,1080.0,2079.0,543.0,225.0,58.98,68.23,82.17,62.0,74.0,58.0,4062.63,2847.0,2866.73,505.0,30.88,45.24,45.24,194.95,196.16,191.85
CGY,2024,CGY,CGY,Team Level,5on5,66,0.47,0.51,0.51,195817.0,1627.07,120.69,99.55,430.72,56.39,892.74,662.97,116.91,120.79,117.01,1485.0,779.0,1027.0,3291.0,102.0,136.0,12.0,370.0,4.0,694.0,958.0,1383.0,2162.0,230.0,539.0,1453.0,1393.0,306.0,924.0,1808.0,334.0,122.0,46.73,41.44,32.51,51.0,30.0,21.0,3266.28,2264.0,2259.41,444.0,20.59,25.7,25.7,115.51,115.46,113.79,1603.33,135.08,100.43,411.79,54.25,864.01,648.52,130.44,136.54,131.85,1503.0,712.0,964.0,3179.0,110.0,152.0,17.0,387.0,9.0,684.0,873.0,1393.0,2105.0,231.0,531.0,1707.0,1231.0,307.0,955.0,1690.0,398.0,127.0,47.09,50.52,37.48,45.0,49.0,16.0,3212.63,2215.0,2234.72,472.0,20.89,34.59,34.59,121.32,122.52,120.77
CGY,2024,CGY,CGY,Team Level,4on5,66,0.09,0.12,0.13,17946.0,42.48,3.33,2.1,6.17,1.33,13.95,30.12,3.29,3.33,3.29,48.0,9.0,15.0,72.0,5.0,1.0,0.0,4.0,0.0,4.0,43.0,43.0,52.0,9.0,18.0,155.0,56.0,16.0,32.0,42.0,15.0,0.0,1.27,2.06,0.0,0.0,5.0,0.0,72.0,57.0,57.0,26.0,0.47,0.16,0.16,3.65,3.65,3.6,283.75,35.65,25.58,63.46,10.09,166.31,87.91,33.42,35.65,33.42,265.0,124.0,137.0,526.0,44.0,31.0,2.0,65.0,1.0,132.0,116.0,221.0,345.0,6.0,12.0,206.0,10.0,21.0,67.0,259.0,88.0,42.0,7.36,10.3,17.98,7.0,17.0,20.0,526.0,389.0,389.0,3.0,6.71,5.91,5.91,36.44,36.44,35.1
CGY,2024,CGY,CGY,Team Level,5on4,66,0.92,0.91,0.89,18166.0,260.62,36.32,22.37,59.18,8.93,151.32,78.88,33.05,36.32,33.05,249.0,108.0,141.0,498.0,32.0,34.0,6.0,48.0,2.0,124.0,117.0,217.0,325.0,11.0,24.0,161.0,18.0,19.0,59.0,255.0,47.0,55.0,7.66,6.07,22.59,8.0,5.0,19.0,498.0,357.0,357.0,6.0,6.01,8.57,8.38,33.95,33.95,31.62,34.08,3.32,1.57,4.69,1.04,9.98,23.4,3.22,3.32,3.22,38.0,6.0,6.0,50.0,6.0,1.0,1.0,2.0,0.0,9.0,26.0,32.0,38.0,12.0,26.0,161.0,43.0,28.0,28.0,28.0,13.0,3.0,0.83,1.64,0.86,1.0,4.0,1.0,50.0,44.0,44.0,22.0,0.36,0.34,0.34,3.33,3.33,3.26
SJS,2024,SJS,SJS,Team Level,other,68,0.46,0.53,0.54,8548.0,132.62,24.65,9.79,25.2,4.52,78.62,41.22,22.71,24.65,22.71,126.0,58.0,80.0,264.0,26.0,12.0,3.0,19.0,0.0,80.0,47.0,100.0,158.0,4.0,6.0,103.0,19.0,9.0,16.0,107.0,41.0,36.0,3.68,4.77,16.2,4.0,5.0,17.0,264.0,184.0,184.0,9.0,2.96,3.5,3.55,24.06,24.06,22.49,113.91,28.88,8.59,21.27,4.44,56.87,36.95,27.45,28.88,27.45,108.0,49.0,73.0,230.0,29.0,13.0,1.0,18.0,1.0,54.0,42.0,79.0,128.0,5.0,18.0,117.0,22.0,10.0,29.0,77.0,36.0,44.0,3.09,4.32,21.48,5.0,8.0,16.0,230.0,157.0,157.0,17.0,2.48,2.85,2.85,28.52,28.52,27.47
SJS,2024,SJS,SJS,Team Level,all,68,0.44,0.46,0.46,247052.0,2002.66,188.21,136.05,486.77,67.69,1097.33,774.96,177.41,186.96,176.2,1843.0,908.0,1108.0,3859.0,177.0,209.0,23.0,347.0,4.0,927.0,1087.0,1666.0,2574.0,245.0,561.0,1884.0,1577.0,316.0,1034.0,2058.0,479.0,214.0,57.64,58.17,72.4,77.0,47.0,53.0,3796.1,2751.0,2723.77,481.0,30.62,45.53,45.53,173.3,172.18,166.73,2326.04,240.43,161.13,562.23,79.38,1264.97,902.86,227.93,243.33,230.64,2149.0,1062.0,1288.0,4499.0,251.0,280.0,29.0,393.0,8.0,1077.0,1202.0,1898.0,2960.0,232.0,558.0,2009.0,1382.0,332.0,1065.0,2348.0,574.0,289.0,69.03,70.7,100.7,105.0,72.0,74.0,4598.03,3211.0,3261.64,473.0,35.68,58.88,58.88,217.24,219.69,213.39
SJS,2024,SJS,SJS,Team Level,5on5,68,0.44,0.45,0.46,200382.0,1541.85,125.99,98.07,393.21,52.54,834.23,616.94,121.17,124.74,119.97,1429.0,692.0,887.0,3008.0,120.0,165.0,19.0,273.0,3.0,681.0,879.0,1309.0,2001.0,219.0,513.0,1464.0,1502.0,270.0,918.0,1632.0,357.0,132.0,45.18,43.84,36.97,68.0,31.0,21.0,2945.1,2121.0,2093.77,431.0,20.3,34.45,34.4,111.89,110.79,108.91,1833.78,161.65,121.09,461.23,62.08,1000.55,729.4,153.55,164.55,156.26,1689.0,847.0,1068.0,3604.0,166.0,216.0,22.0,320.0,6.0,848.0,980.0,1523.0,2370.0,204.0,494.0,1540.0,1299.0,290.0,933.0,1919.0,438.0,179.0,55.82,54.86,50.97,89.0,50.0,27.0,3703.03,2536.0,2586.64,419.0,25.12,43.91,44.4,142.37,144.82,141.82
SJS,2024,SJS,SJS,Team Level,4on5,68,0.07,0.1,0.12,19591.0,41.76,3.37,2.26,6.28,1.45,14.97,30.67,3.36,3.37,3.36,47.0,12.0,9.0,68.0,3.0,0.0,0.0,0.0,0.0,13.0,43.0,44.0,56.0,9.0,18.0,138.0,39.0,22.0,35.0,44.0,13.0,2.0,1.15,1.67,0.55,2.0,0.0,1.0,68.0,59.0,59.0,33.0,0.52,0.0,0.0,3.88,3.88,3.86,326.8,45.36,28.83,71.77,11.24,191.36,100.44,42.5,45.36,42.5,300.0,149.0,137.0,586.0,49.0,48.0,6.0,51.0,0.0,167.0,134.0,251.0,400.0,16.0,32.0,194.0,10.0,11.0,61.0,299.0,90.0,60.0,8.6,10.4,26.36,7.0,11.0,31.0,586.0,449.0,449.0,1.0,7.48,11.32,10.83,42.0,42.0,39.81
SJS,2024,SJS,SJS,Team Level,5on4,68,0.88,0.87,0.85,18531.0,286.43,34.2,25.93,62.07,9.19,169.49,86.12,30.16,34.2,30.16,241.0,146.0,132.0,519.0,28.0,32.0,1.0,55.0,1.0,153.0,118.0,213.0,359.0,13.0,24.0,179.0,17.0,15.0,65.0,275.0,68.0,44.0,7.63,7.9,18.68,3.0,11.0,14.0,519.0,387.0,387.0,8.0,6.84,7.58,7.58,33.46,33.46,31.47,51.54,4.55,2.62,7.95,1.63,16.19,36.07,4.43,4.55,4.43,52.0,17.0,10.0,79.0,7.0,3.0,0.0,4.0,1.0,8.0,46.0,45.0,62.0,7.0,14.0,158.0,51.0,21.0,42.0,53.0,10.0,6.0,1.52,1.13,1.9,4.0,3.0,0.0,79.0,69.0,69.0,36.0,0.61,0.8,0.8,4.34,4.34,4.29
WSH,2024,WSH,WSH,Team Level,other,67,0.57,0.47,0.48,9649.0,128.95,35.35,7.86,23.16,4.3,63.37,45.96,32.66,35.35,32.66,118.0,62.0,64.0,244.0,38.0,6.0,0.0,23.0,1.0,65.0,47.0,80.0,142.0,4.0,16.0,111.0,27.0,11.0,23.0,108.0,22.0,50.0,4.1,3.02,28.22,5.0,2.0,31.0,244.0,180.0,180.0,7.0,2.24,1.63,1.63,35.97,35.97,33.23,142.63,27.15,10.25,26.3,4.82,81.42,44.07,25.44,27.15,25.44,121.0,73.0,80.0,274.0,20.0,12.0,1.0,31.0,2.0,72.0,57.0,101.0,174.0,2.0,6.0,118.0,21.0,17.0,27.0,108.0,52.0,34.0,4.44,6.59,16.11,3.0,4.0,13.0,274.0,194.0,194.0,8.0,3.01,4.39,4.51,25.65,25.65,24.17
WSH,2024,WSH,WSH,Team Level,all,67,0.53,0.5,0.51,244146.0,2098.61,224.95,137.15,510.37,71.72,1117.86,828.96,213.27,226.79,215.09,1856.0,1035.0,1097.0,3988.0,243.0,214.0,26.0,388.0,3.0,846.0,1197.0,1613.0,2648.0,242.0,540.0,1887.0,1271.0,282.0,985.0,2062.0,565.0,264.0,59.45,71.54,93.97,89.0,69.0,85.0,4039.59,2891.0,2924.98,461.0,30.4,44.85,44.92,210.44,212.35,205.5,2056.32,203.28,136.52,493.97,69.8,1104.21,801.23,193.24,202.78,192.79,1820.0,989.0,1208.0,4017.0,172.0,211.0,21.0,401.0,7.0,897.0,1121.0,1648.0,2637.0,234.0,527.0,1869.0,1319.0,288.0,992.0,2045.0,526.0,238.0,58.95,65.73,78.6,61.0,51.0,60.0,3981.51,2809.0,2795.35,476.0,30.5,47.06,47.06,186.71,186.37,181.36
WSH,2024,WSH,WSH,Team Level,5on5,67,0.52,0.5,0.51,198493.0,1651.64,148.08,103.42,420.34,56.6,886.33,668.21,142.13,149.92,143.95,1446.0,837.0,896.0,3179.0,162.0,165.0,23.0,312.0,0.0,655.0,989.0,1284.0,2121.0,217.0,483.0,1449.0,1166.0,236.0,871.0,1686.0,442.0,155.0,48.41,56.2,43.47,72.0,54.0,36.0,3230.59,2283.0,2316.98,422.0,21.5,33.66,33.66,135.92,137.83,135.44,1581.16,139.03,100.31,397.84,53.84,839.37,629.6,132.56,138.53,132.11,1393.0,767.0,978.0,3138.0,117.0,160.0,14.0,305.0,3.0,689.0,886.0,1276.0,2043.0,209.0,470.0,1419.0,1244.0,244.0,872.0,1612.0,389.0,159.0,45.48,49.22,44.33,53.0,38.0,26.0,3102.51,2160.0,2146.35,432.0,20.82,34.84,34.72,125.12,124.77,122.53
