team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2024,NYI,NYI,Team Level,other,66,0.42,0.45,0.46,9000.0,126.09,24.84,9.87,23.1,4.45,77.08,37.65,22.85,24.84,22.85,118.0,59.0,54.0,231.0,22.0,11.0,2.0,16.0,2.0,77.0,49.0,96.0,155.0,5.0,18.0,103.0,30.0,15.0,22.0,101.0,43.0,33.0,3.81,5.04,16.0,3.0,5.0,14.0,231.0,177.0,177.0,12.0,2.83,2.23,2.23,25.45,25.45,23.57,148.8,33.91,10.9,26.8,4.89,81.86,46.64,28.68,33.91,28.68,147.0,58.0,78.0,283.0,35.0,19.0,4.0,17.0,0.0,71.0,63.0,112.0,170.0,3.0,6.0,85.0,22.0,17.0,18.0,104.0,48.0,53.0,4.35,6.03,23.52,7.0,5.0,23.0,283.0,205.0,205.0,7.0,3.15,7.78,7.78,29.27,29.27,26.69
NYI,2024,NYI,NYI,Team Level,all,66,0.47,0.5,0.5,239916.0,2095.49,189.65,143.39,514.8,71.74,1152.68,826.75,181.64,190.23,182.17,1919.0,980.0,1100.0,3999.0,177.0,205.0,23.0,423.0,4.0,972.0,1118.0,1742.0,2722.0,164.0,364.0,2026.0,1481.0,323.0,972.0,2201.0,502.0,196.0,63.12,62.24,64.29,62.0,69.0,46.0,4002.18,2899.0,2901.77,458.0,31.98,39.52,39.54,182.1,182.42,177.26,2096.83,209.6,142.32,503.06,70.31,1135.06,817.65,197.21,210.13,197.69,1897.0,981.0,1164.0,4042.0,195.0,231.0,18.0,333.0,4.0,966.0,1149.0,1702.0,2683.0,180.0,391.0,1665.0,1470.0,355.0,971.0,2118.0,524.0,236.0,61.55,66.29,81.75,76.0,59.0,60.0,4049.09,2878.0,2885.25,481.0,31.63,50.38,50.38,190.85,191.24,185.71
NYI,2024,NYI,NYI,Team Level,5on5,66,0.49,0.5,0.5,199482.0,1666.1,135.18,107.4,425.44,57.12,912.67,672.19,130.66,135.77,131.19,1501.0,809.0,918.0,3228.0,131.0,155.0,18.0,338.0,1.0,764.0,921.0,1370.0,2179.0,152.0,334.0,1587.0,1403.0,275.0,877.0,1803.0,376.0,131.0,51.98,47.2,36.0,57.0,52.0,22.0,3231.18,2310.0,2312.77,426.0,22.31,31.63,31.78,125.72,126.04,123.95,1665.6,140.08,107.16,418.19,56.15,898.1,670.32,135.18,140.61,135.66,1486.0,804.0,978.0,3268.0,117.0,173.0,10.0,274.0,4.0,774.0,948.0,1369.0,2173.0,172.0,375.0,1329.0,1393.0,307.0,894.0,1742.0,412.0,136.0,49.09,52.39,38.6,58.0,46.0,13.0,3275.09,2290.0,2297.25,448.0,22.24,34.83,34.91,127.4,127.8,125.91
NYI,2024,NYI,NYI,Team Level,4on5,66,0.13,0.16,0.18,13996.0,54.63,4.99,2.66,7.52,1.6,16.68,38.54,4.93,4.99,4.93,60.0,12.0,9.0,81.0,6.0,3.0,1.0,6.0,0.0,12.0,45.0,54.0,66.0,3.0,6.0,144.0,32.0,20.0,16.0,50.0,18.0,4.0,1.55,2.26,1.18,2.0,3.0,1.0,81.0,72.0,72.0,11.0,0.6,0.28,0.28,5.31,5.31,5.3,244.37,32.53,22.49,52.45,8.09,142.88,73.55,30.3,32.53,30.3,222.0,110.0,100.0,432.0,39.0,37.0,4.0,41.0,0.0,112.0,103.0,183.0,293.0,2.0,4.0,124.0,14.0,10.0,34.0,232.0,56.0,44.0,6.85,6.89,18.79,8.0,7.0,24.0,432.0,332.0,332.0,7.0,5.84,7.32,7.25,31.12,31.12,30.08
NYI,2024,NYI,NYI,Team Level,5on4,66,0.89,0.89,0.87,17438.0,248.67,24.63,23.45,58.74,8.57,146.23,78.38,23.2,24.63,23.2,240.0,100.0,119.0,459.0,18.0,36.0,2.0,63.0,1.0,119.0,103.0,222.0,322.0,4.0,6.0,192.0,16.0,13.0,57.0,247.0,65.0,28.0,5.79,7.73,11.11,0.0,9.0,9.0,459.0,340.0,340.0,9.0,6.24,5.37,5.25,25.62,25.62,24.44,38.05,3.08,1.77,5.62,1.17,12.22,27.14,3.05,3.08,3.05,42.0,9.0,8.0,59.0,4.0,2.0,0.0,1.0,0.0,9.0,35.0,38.0,47.0,3.0,6.0,127.0,41.0,21.0,25.0,40.0,8.0,3.0,1.27,0.97,0.84,3.0,1.0,0.0,59.0,51.0,51.0,19.0,0.4,0.44,0.44,3.05,3.05,3.04
TOR,2024,TOR,TOR,Team Level,other,67,0.51,0.48,0.49,9934.0,138.12,38.24,9.3,23.77,4.67,69.9,45.12,35.88,38.24,35.88,126.0,65.0,54.0,245.0,33.0,15.0,0.0,20.0,0.0,66.0,57.0,93.0,158.0,2.0,6.0,112.0,14.0,16.0,36.0,90.0,40.0,61.0,3.71,5.12,29.41,6.0,4.0,23.0,245.0,191.0,191.0,19.0,2.6,4.13,4.13,36.72,36.72,35.14,142.07,37.28,10.72,24.78,4.8,77.19,40.23,32.83,37.28,32.83,133.0,62.0,74.0,269.0,37.0,14.0,1.0,24.0,0.0,72.0,48.0,96.0,158.0,3.0,14.0,101.0,18.0,13.0,29.0,99.0,44.0,52.0,4.08,5.57,27.63,7.0,7.0,23.0,269.0,195.0,195.0,11.0,3.07,4.56,4.56,35.8,35.8,32.88
TOR,2024,TOR,TOR,Team Level,all,67,0.5,0.48,0.49,243067.0,2066.05,213.98,138.8,495.69,68.51,1112.51,800.5,204.75,214.55,205.28,1895.0,935.0,1053.0,3883.0,215.0,191.0,22.0,406.0,4.0,852.0,1162.0,1680.0,2615.0,228.0,507.0,1999.0,1616.0,316.0,1006.0,2069.0,508.0,253.0,58.89,63.66,91.43,66.0,79.0,70.0,3885.05,2830.0,2834.06,497.0,30.92,40.01,40.3,204.61,204.9,199.69,2147.72,216.46,142.84,529.81,72.91,1172.68,840.3,203.94,216.93,204.37,1950.0,1025.0,1193.0,4168.0,198.0,230.0,24.0,415.0,2.0,982.0,1148.0,1752.0,2777.0,218.0,502.0,1737.0,1376.0,321.0,959.0,2221.0,503.0,251.0,61.03,63.0,92.44,72.0,64.0,62.0,4160.82,2975.0,2980.06,432.0,31.82,46.84,47.02,201.25,201.67,194.74
TOR,2024,TOR,TOR,Team Level,5on5,67,0.5,0.48,0.49,197608.0,1607.45,131.97,102.2,406.22,53.23,868.74,640.65,127.24,132.53,127.78,1474.0,729.0,871.0,3074.0,135.0,140.0,13.0,324.0,4.0,653.0,947.0,1339.0,2068.0,215.0,476.0,1550.0,1549.0,275.0,880.0,1688.0,385.0,130.0,46.63,48.4,36.93,52.0,65.0,18.0,3076.05,2203.0,2207.06,435.0,21.18,28.16,28.97,124.19,124.49,122.58,1654.33,130.69,104.08,431.01,56.53,906.88,673.81,126.38,131.15,126.82,1485.0,818.0,971.0,3274.0,118.0,179.0,19.0,327.0,2.0,732.0,945.0,1367.0,2185.0,194.0,443.0,1331.0,1310.0,272.0,844.0,1811.0,356.0,136.0,47.93,44.48,38.28,58.0,43.0,17.0,3266.82,2303.0,2308.06,395.0,21.53,31.55,32.04,120.18,120.6,118.99
TOR,2024,TOR,TOR,Team Level,4on5,67,0.08,0.11,0.13,18229.0,43.42,3.46,2.04,6.42,1.32,14.02,31.73,3.42,3.46,3.42,47.0,12.0,5.0,64.0,3.0,0.0,0.0,7.0,0.0,11.0,38.0,44.0,56.0,7.0,17.0,170.0,38.0,18.0,35.0,45.0,10.0,4.0,1.19,1.24,1.04,2.0,0.0,1.0,64.0,59.0,59.0,33.0,0.48,0.0,0.0,3.94,3.94,3.88,293.11,42.31,24.79,64.45,9.55,169.68,87.22,38.81,42.31,38.81,266.0,132.0,145.0,543.0,39.0,31.0,4.0,62.0,0.0,163.0,103.0,227.0,359.0,18.0,39.0,168.0,17.0,15.0,64.0,258.0,85.0,55.0,7.59,10.28,24.43,7.0,11.0,21.0,543.0,398.0,398.0,6.0,6.47,9.21,8.91,39.87,39.87,37.48
TOR,2024,TOR,TOR,Team Level,5on4,67,0.87,0.86,0.83,17296.0,277.05,40.32,25.27,59.27,9.28,159.85,83.01,38.2,40.32,38.2,248.0,129.0,123.0,500.0,44.0,36.0,9.0,55.0,0.0,122.0,120.0,204.0,333.0,4.0,8.0,167.0,15.0,7.0,55.0,246.0,73.0,58.0,7.35,8.9,24.06,6.0,10.0,28.0,500.0,377.0,377.0,10.0,6.65,7.73,7.21,39.76,39.76,38.09,58.2,6.19,3.25,9.57,2.04,18.92,39.03,5.91,6.19,5.91,66.0,13.0,3.0,82.0,4.0,6.0,0.0,2.0,0.0,15.0,52.0,62.0,75.0,3.0,6.0,137.0,31.0,21.0,22.0,53.0,18.0,8.0,1.43,2.67,2.09,0.0,3.0,1.0,82.0,79.0,79.0,20.0,0.74,1.52,1.52,5.41,5.41,5.39
